freq,r_insample,r_loso,r_amplitude,p_uncorrected,p_fwe,null95
0.27,0.10920279061545439,-0.7469575791614254,-0.09271256450588154,0.977,1.0,0.3779349405797556
0.275,0.15551558447522468,-0.5895662952390032,-0.18641102384917616,0.9,1.0,0.388537093082177
0.28,0.1929604875249239,-0.44951417228703267,-0.286811080068465,0.7625,1.0,0.3753278458208216
0.285,0.2061833022035996,-0.4143079743542686,-0.3777963258741922,0.7045,1.0,0.37382806608448554
0.29,0.1913924044890508,-0.47121010088843285,-0.38933225351131556,0.7275,1.0,0.34926125810570624
0.295,0.13658576467687,-0.5778424293198658,-0.25302327485468823,0.8045,1.0,0.35425168247111904
0.3,0.07797092631497045,-0.6682598875217224,-0.058496572100459845,0.919,1.0,0.34819328922813064
0.305,0.09240611220582085,-0.4357017854269818,0.03967371129837393,0.7665,1.0,0.34868173028378463
0.31,0.15109197176506992,-0.4316422171391762,0.014559617524855722,0.764,1.0,0.35318949008435485
0.315,0.2096092269603368,-0.43696769353308185,-0.039255407624707375,0.7555,1.0,0.35722944656480127
0.32,0.2422082034952406,-0.24710341227969024,-0.06859409336738953,0.555,1.0,0.3575605474759801
0.325,0.24862790111314795,-0.20752582883699294,-0.0038061943739873044,0.5075,1.0,0.3874168887877116
0.33,0.24757190322801745,-0.3052395633821439,0.1369474416784654,0.5755,1.0,0.35535016036442796
0.335,0.22729377625092756,-0.5556886100221825,0.30648864808201254,0.81,1.0,0.3494575161095137
0.34,0.12634964491628914,-0.5756532400187178,0.3642832518339356,0.8795,1.0,0.3747339833891789
0.345,0.05070688476367706,-0.5437925470825524,0.23069043770509295,0.854,1.0,0.37607819472707754
0.35,0.18178676586543788,-0.6010672965374851,0.04594623490476606,0.8735,1.0,0.3744376381900029
0.355,0.3021158506367934,-0.21140054906428565,-0.056788780461781596,0.511,1.0,0.34414201164592617
0.36,0.3524478890265099,0.027057434919385153,-0.10144400894211487,0.2625,0.999,0.34943272348836724
0.365,0.3519164292952189,0.05448764271857637,-0.12901271463214573,0.2355,0.9945,0.36034703455727646
0.37,0.34978673252194903,0.04510800272648456,-0.09880195839853201,0.2585,0.997,0.3646260785057798
0.375,0.3741657207752636,0.01262294572332225,0.07591306940647488,0.2755,1.0,0.36003276080068897
0.38,0.39626299474315185,-0.11098190644108892,0.28572236105982485,0.3825,1.0,0.37116108937618336
0.385,0.33742026181329826,-0.2663416696895905,0.37929141489549384,0.5575,1.0,0.36290118110947955
0.39,0.2014968028787202,-0.32120282397987643,0.31411094484763374,0.6425,1.0,0.3704331191583199
0.395,0.17865819942591607,-0.29532565091460594,0.2074347621576316,0.6125,1.0,0.3750681694372009
0.4,0.22954757082168561,-0.2745510703036769,0.08402685604226959,0.5955,1.0,0.37710103002021333
0.405,0.18334898014234086,-0.3268396698036015,-0.03126631093296376,0.672,1.0,0.37956646703795527
0.41,0.08158225041149221,-0.4061635345826515,0.010549914861593918,0.7405,1.0,0.3862340462867155
0.415,0.06915115505306042,-0.4613179663541458,0.21344088490711183,0.7425,1.0,0.3713172854899177
0.42,0.1850105065112085,-0.44530217197105487,0.4622655509709034,0.6935,1.0,0.35293021663831464
